,type,fact_check_url,archieve,news_url,news_url2,news_url3,news_url4,news_url5,title,newstitle,content,abstract,publish_date,meta_keywords
643,article,https://www.politifact.com/factchecks/2020/jun/17/donald-trump/trumps-take-covid-testing-gives-short-shrift-publi/,,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-fighting-americas-seniors/,,,,,“If we stopped testing right now we’d have very few cases if any.”,"""Remarks by President Trump in Roundtable Discussion on Fighting for America's Seniors""",the president okay thank you very much. today is world elder abuse awareness day and were here to discuss our ironclad commitment to protecting and caring for americas seniors. were joined by vice president mike pence attorney general william barr secretary of health and human services alex azar secretary of housing and urban development ben carson who by the way was fantastic over the weekend in various interviews you did ben. really good job i appreciate it. secretary of vetera. ,cabinet room 2:40 p.m. edt the president okay thank you very much. today is world elder abuse awareness day and were here to discuss our ironclad com. ,15-Jun-20,""""""
644,post,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/conspiracy-claim-linking-covid-19-reports-number-3/,,https://www.facebook.com/resultswithmary/posts/10163676590160142,https://www.facebook.com/shannonkroner/posts/10220597584543537,,,,News stories referencing the number “322” and COVID-19 are proof cases tolls are being “synchronized”.,"""Mary Elizabeth""",see more of mary elizabeth on facebook. ,nothing to see here except synchronized cases all over the world. that s weird .... ,,""""""
645,article,https://www.politifact.com/factchecks/2020/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,,https://www.rev.com/blog/transcripts/donald-trump-june-15-roundtable-transcript-fighting-for-americas-seniors,,,,,“In a very real sense (Oklahoma has) flattened the curve. … The number of cases in Oklahoma — it’s declined precipitously.”,"""Donald Trump June 15 Roundtable Transcript: 'Fighting for America’s Seniors'""",donald trump 00:00 alex azar secretary of housing and urban development ben carson who by the way was fantastic over the weekend in various interviews you did ben. really good job. i appreciate it. secretary of veterans affairs robert wilkie administrator seema verma chief postal inspector of the united states postal inspection service gary barksdale. garys done a great job especially with spotting drugs coming into our country. he s done a fantastic job. my administration is w. ,donald trump held a roundtable on june 15 called fighting for america 's seniors. he also talked about his upcoming executive order on police reform his upcoming tulsa rally and the historic lgbt supreme court ruling. ,,""""""
646,post,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/offer-free-horses-2011-not-tied-covid-19/,,https://www.facebook.com/lilmamma92510/posts/3200843609980032,,,,,“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
647,post,https://www.politifact.com/factchecks/2020/jun/16/viral-image/floyds-death-wasnt-filmed-pandemic/,,https://www.facebook.com/photo.php?fbid=3589672681047053&set=a.189138454433843&type=3&theater,,,,,“George Floyd’s ‘murder’ filmed before COVID-19.”,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
648,article,https://www.politifact.com/factchecks/2020/jun/22/facebook-posts/no-evidence-tying-bill-gates-100-billion-covid-19-/,,https://envirowatchrangitikei.wordpress.com/2020/06/14/six-months-before-the-covid-plandemic-bill-gates-had-negotiated-a-100-billion-contact-tracing-deal-with-democratic-congressman-sponsor-of-bill/?fbclid=IwAR2HOuSSUvRRavOA67CtOsg7bzioK-QG2WkNELHmyj3ilT9cWsPFrkgJ4O0,,,,,“Six months before the COVID ‘plandemic’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.”,"""Six Months before THE Covid Plandemic, Bill Gates had Negotiated a $100 Billion Contact Tracing Deal With Democratic Congressman Sponsor of Bill""",the bill and melinda gates foundation helped negotiate who would score a 100 billion government backed contact tracing contract in august 2019 six months before the pandemic arrived in the united states and four months before it swept through china. listen above the shocking revelations were unveiled on the thomas paine podcast and the moore paine show on patreon by the two investigators who blew the whistle on the massive clinton foundation tax fraud during a congressional hearing in 20. ,from truepundit.com the bill and melinda gates foundation helped negotiate who would score a 100 billion government backed contact tracing contract in august 2019 six months before the pandemic arrived in the united states and four months before it swept through china. listen above the shocking revelations were unveiled on the thomas paine podcast and. ,2020-06-14T04:58:31+00:00,""""""
649,post,https://www.politifact.com/factchecks/2020/jun/29/facebook-posts/claim-tony-evers-ordered-us-flag-removed-ridiculou/,,https://www.facebook.com/photo.php?fbid=581827499191060&set=a.106986493341832&type=3&theater,,,,,Gov. of Wisconsin Tony Evers “removed the American flag from the Capitol building”.,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
650,post,https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/chuck-norris-felled-tiny-virus-dont-believe-it/,https://web.archive.org/web/20200615012805/https://www.facebook.com/172793626648249/photos/a.174092709851674/632740230653584/?type=3,https://www.facebook.com/172793626648249/photos/a.174092709851674/632740230653584/?type=3,,,,,“Corona Virus claims a black belt. Chuck Norris Dead at 80.”,"""Are You Not Entertained?""",see more of are you not entertained. on facebook. ,corona virus claims a black belt. chuck norris dead at 80. carlos ray chuck norris famous actor and fighter died yesterday afternoon at his home in .... ,,""""""
651,post,https://www.factcheck.org/2020/06/facebook-post-repeats-flawed-claim-on-wuhan-lab-funding/,http://archive.is/XMkqq,https://www.facebook.com/photo.php?fbid=1582898565206076&set=a.101335850029029&type=3&theater,https://www.facebook.com/photo.php?fbid=735241013916930&set=a.111201679654203&type=3&theater,,,,“The ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak Hussein Obama in 2015 to the tune of $3800000 American dollars.,"""James Carlton""",see more of james carlton on facebook. ,,,""""""
652,post,https://factcheck.afp.com/us-faces-covid-19-spike-outdated-mask-info-spreads-online,https://perma.cc/4D68-XLWS,https://www.facebook.com/photo.php?fbid=2789866584457750&set=a.205642382880196&type=3&theater,,,,,A Facebook post shared more than 25000 times says face masks should only be worn by medical professionals or people who have become ill during the coronavirus pandemic.,"""Ashly Rose""",see more of ashly rose on facebook. ,well there s that ...... ,,""""""
653,post,https://www.politifact.com/factchecks/2020/jun/29/viral-image/sarah-huckabee-sanders-didnt-tweet-conspiracy-theo/,,https://www.facebook.com/photo.php?fbid=10158624993130663&set=a.90771730662&type=3&theater,,,,,Claim that Sarah Huckabee Sanders tweeted “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”,"""Doc Adam Caldwell""",see more of doc adam caldwell on facebook. ,,,""""""
654,post,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/widely-shared-facebook-posts-mislead-covid-19-mort/,,https://www.facebook.com/sharontay.huff/posts/3037891612946957,,,,,“The CDC just confirmed a 0.2% death-rate for COVID19.”,"""Sharontay Huff""",see more of sharontay huff on facebook. ,covid update a must read incase you missed the news reporting this while you were distracted by our country literally burning down around .... ,,""""""
655,article,https://healthfeedback.org/evaluation/people-who-do-not-show-symptoms-contribute-to-significant-covid-19-transmission-contrary-to-cnbc-report/,http://archive.vn/5R9hI,https://www.cnbc.com/2020/06/08/asymptomatic-coronavirus-patients-arent-spreading-new-infections-who-says.html,,,,,CNBC reported that “Coronavirus patients without symptoms aren’t driving the spread of the virus” based on remarks by a WHO official at a press briefing on 8 June 2020.,"""Asymptomatic spread of coronavirus is 'very rare,' WHO says""",world health organization officials on tuesday walked back the comments below that were made on monday after drawing criticism from epidemiologists across the world. dr. maria van kerkhove head of the who 's emerging diseases and zoonosis unit said tuesday that asymptomatic spread is a really complex question and much is still unknown. we do n't actually have that answer yet she said. i was responding to a question at the press conference. i was n't stating a policy of who or anything like. ,government responses should focus on detecting and isolating infected people with symptoms said the who 's dr. maria van kerkhove. ,2020-06-08T17:05:25+0000,"""Coronavirus: Return to Work,Health care industry,Politics,U.S. Economy,Biotech and Pharmaceuticals,Biotechnology,Pandemics,Epidemics,Disease outbreaks,Coronavirus,Breaking News: Business,business news"""
656,post,https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/masks-covid-19-are-effective-six-part-facebook-tak/,,https://www.facebook.com/photo.php?fbid=10157367997896769&set=a.10152322762891769&type=3&theater,,,,,Wearing masks for the coronavirus “decreases oxygen intake increases toxin inhalation shuts down immune system increases virus risk scientifically inaccurate effectiveness not studied.”,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
657,post,https://healthfeedback.org/claimreview/people-who-do-not-show-covid-19-symptoms-can-and-do-transmit-it-to-others-physical-distancing-and-face-masks-effectively-reduce-the-risk-of-transmission/,https://archive.vn/JjSav,https://www.facebook.com/dan.mcghee.5/posts/10220702069235136,,,,,The WHO stated that asymptomatic spread of COVID-19 is “very rare” therefore physical distancing and face masks are not necessary.,"""Dan McGhee""",see more of dan mcghee on facebook. ,friends do you understand that the world health organization who just made an announcement that literally dismantled the primary reason we shut down .... ,,""""""
658,post,https://www.factcheck.org/2020/06/colorado-vaccine-bill-includes-nonmedical-exemptions-for-children/,,https://www.facebook.com/photo.php?fbid=3027013784191742&set=a.1381101595449644&type=3&theater,https://www.facebook.com/photo.php?fbid=150418163249185&set=a.102252491399086&type=3&theater,https://www.instagram.com/p/CBQcAZUgViI/?utm_source=ig_embed,,,A Colorado bill is “removing exemptions” for parents who don’t want to vaccinate their children in order to attend school.,"""Mujin Choi""",see more of mujin choi on facebook. ,democratic party bill gates party. ,,""""""
659,post,https://factcheck.afp.com/posts-falsely-claim-coronavirus-testing-excuse-implant-gates-funded-microchips,https://perma.cc/Z23S-HCKR,https://www.facebook.com/photo.php?fbid=10216252022228393&set=a.1600744053668&type=3&theater,,,,,Facebook posts shared thousands of times claim the coronavirus pandemic is a cover for a Gates Foundation-funded effort to implant microchips when patients’ noses or throats are swabbed during COVID-19 testing.,"""Lucinda Pringle""",see more of lucinda pringle on facebook. ,this was worse than i thought so you mean to tell me most people died from rejecting this mess they secretly planting bill gates .... ,,""""""
660,post,https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/claim-n95-masks-cant-stop-covid-19-particles-due-s/,,https://www.facebook.com/whydontyoutrythis/posts/1689498447866332,,,,,“N95 masks block few if any” COVID-19 particles due to their size.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
661,article,https://healthfeedback.org/claimreview/article-inaccurately-claims-that-coronavirus-vaccine-by-oxford-researchers-caused-animal-test-subjects-to-develop-covid-19/,http://archive.vn/HFNI2#,https://montanadailygazette.com/2020/05/27/all-test-subjects-of-bill-gates-vaccine-ended-up-with-coronavirus/,,,,,Bill Gates’ coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.,"""All Test Subjects of Bill Gates' Vaccine Ended Up With Coronavirus""",what could possibly go wrong with fast tracking a hastily put together vaccine to treat an illness with a .26 fatality rate and mass producing the concoction for dissemination. that s what some in the medical community want to do with bill gates new vaccine for coronavirus which he began working on curiously a short time before coronavirus went viral. what could go wrong has now been made public as bill gates shoddily hastened vaccine has been determined to make all animal test subject. ,,2020-05-27T22:03:46+00:00,""""""
662,post,https://factcheck.afp.com/meme-misleads-about-danger-long-term-mask-use,https://perma.cc/FSG8-27BZ,https://www.facebook.com/photo.php?fbid=10216332790807977&set=a.4793122541555&type=3&theater,https://www.facebook.com/photo.php?fbid=3060686327379149&set=a.387447374703071&type=3&theater,https://www.facebook.com/photo.php?fbid=3103916832984740&set=a.673254806050967&type=3,https://www.facebook.com/photo.php?fbid=1146287972399825&set=a.118804228481543&type=3&theater,https://www.facebook.com/photo.php?fbid=10222952877313261&set=a.1849414437951&type=3&theater,A meme shared thousands of times on Facebook claims people can suffer from reduced oxygen to their blood and brain possibly leading to death if they wear a disposable mask for too long.,"""Angel Rosado""",see more of angel rosado on facebook. ,i kept saying this for awhile now but some people do nt want to listen ... ,,""""""
663,article,https://healthfeedback.org/claimreview/german-ministry-employee-makes-unsupported-claim-that-covid-19-pandemic-is-a-global-false-alarm-in-widely-circulated-yet-unsolicited-opinion-article/,https://archive.fo/5MCzZ,https://newspunch.com/german-govt-official-leaks-report-denouncing-covid-19-global-false-alarm/,,,,,A report drafted by a scientific panel appointed by Germany’s Interior Ministry declaring the COVID-19 pandemic is a “global false alarm” was leaked by a former employee.,"""German Gov’t Employee Makes Unsupported Claim That COVID-19 Pandemic Is a Global False Alarm In...""",update a previous version of this article claimed a leaked report drafted by a scientific panel appointed by germanys interior ministry declared the covid-19 pandemic a global false alarm. this is incorrect. the document was not leaked from germanys interior ministry nor was it solicited or prepared by any unit of the interior ministry. as healthfeedback.org explain the document in question represents the private opinion of a single ministry employee and several independent scientists. ,the claim that the covid-19 pandemic is a global false alarm as posited by stephen kohn is currently unsupported .. ,2020-06-02T16:49:37+00:00,""""""
664,,https://www.politifact.com/factchecks/2020/jun/05/viral-image/no-photo-doesnt-prove-coronavirus-hoax/,,,https://www.facebook.com/photo.php?fbid=3478336208860299&set=a.415950631765554&type=3&theater,,,,“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,,,,,
665,post,https://factcheck.afp.com/video-fake-5g-technology-spreads-social-media,https://perma.cc/7C5L-G74F,https://www.facebook.com/kimo.sabi.3/videos/o.346378325942318/10158597209609874/?type=2&theater,https://www.facebook.com/565213087274651/posts/958449564617666,https://www.facebook.com/289189664545158/posts/2049198468544260,https://www.facebook.com/kimo.sabi.3/videos/o.346378325942318/10158597209609874/?type=2&theater,https://www.facebook.com/1296544657024833/posts/3226643504014929,A video has been shared thousands of times on social media claiming that circuit boards with “COV-19” inscribed on them are being fitted to 5G towers.,"""Kimo Sabi""",join this group to post and comment .. ,"official q qanon r ra rawgr q+ q+ has 197,653 members. iii patriots copatriots worldwide patriots constittional nationalists wwg1wga q+ .... ",,""""""
666,post,https://www.politifact.com/factchecks/2020/jun/10/facebook-posts/no-gretchen-whitmer-isnt-george-soross-niece/,,https://www.facebook.com/pastor.greg.wilson/posts/10221359201783446,,,,,“How many of you are aware that the female governor of Michigan is the niece of George Soros?”,"""Greg Wilson""",see more of greg wilson on facebook. ,how many of you are aware that the female governor of michigan is the niece of george soros ?. ,,""""""
667,post,https://healthfeedback.org/claimreview/facebook-posts-spread-unsupported-anonymous-claim-that-face-mask-use-caused-a-lung-infection-in-a-healthy-teenager/,http://archive.vn/udIJN,https://www.facebook.com/shawna.plexus/posts/10224029114374880,,,,,Wearing a face mask caused a 19-year-old grocery store worker to be hospitalized for an lung infection due to breathing in her own carbon dioxide and bacteria.,"""Shawna Love""",see more of shawna love on facebook. ,this was sent to me by someone i know personally. this is her youngest daughters experience. i was given permission to share. i ca n't post this .... ,,""""""
668,article,https://healthfeedback.org/claimreview/the-spread-of-covid-19-is-not-related-in-any-way-to-the-deployment-of-5g/,https://archive.fo/txk5C,https://gumshoenews.com/2020/05/04/study-shows-direct-correlation-between-5g-networks-and-coronavirus-outbreaks/?fbclid=IwAR0i4BVxlDYkuuzAvWx7oglpzqBVylHVQvCgsBkAo5P03a5cz8i4IPC2xvk,,,,,A study by Bartomeu Payeras i Cifre shows a direct correlation between 5G networks and COVID-19 outbreaks and “demonstrates clearly the most likely probability that the COVID-19 hypoxic injuries and hospital admissions are directly related to electromagnetic radiation exposure by 5G networks”.,"""Not Acceptable!""",an appropriate representation of the requested resource could not be found on this server. this error was generated by mod_security. ,,,""""""
669,post,https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/claim-florida-undercounting-covid-19-deaths-uses-f/,,https://www.facebook.com/NewFloridaMajority/photos/a.282196488508285/3154109601316945/?type=3&theater,,,,,“According to the CDC so far this year Florida has had 1762 deaths from COVID-19 and 5185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”,"""The New Florida Majority""",ke your voice heard. request your vote by mail ballot now leave nothing to chance. visit our website to learn more about requesting your vote by mail ballot newmajority.vote hey. voting on is the last opportunity to ma. ,this post was rated false by politifact an independent fact checker. the cdcs running tally of deaths for a given year can count multiple causes for .... ,,""""""
670,article,https://www.politifact.com/factchecks/2020/may/28/joe-kernen/cnbcs-joe-kernen-wrong-about-us-capita-covid-19-de/,,https://www.mediaite.com/tv/cnbc-segment-explodes-as-andrew-ross-sorkin-accuses-joe-kernen-of-being-in-the-tank-for-trump-during-crisis-100000-people-died/,,,,,“We’re down near the low end of per capita deaths … Most places are at 60 deaths per 100000. We’re at 29.”,"""CNBC Segment Explodes as Andrew Ross Sorkin Accuses Joe Kernen of Being in the Trump Tank""",a cnbc debate over the stock market completely exploded early wednesday with two squawk box hosts throwing down in a vicious debate which saw one accusing the other of being in the tank for president donald trump. during an intense discussion punctuating the shows opening segment joe kernen and andrew ross sorkin battled over the recent stock market rally. kernen accused sorkin of being overly pessimistic and going out of his way to find negative market indicators. sorkin countered by argui. ,a cnbc debate over the stock market completely exploded early wednesday with two squawk box hosts throwing down in a vicious debate which saw one accusing the. ,2020-05-27T13:25:31Z,"""tv"""
