,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords
3543,article,healthline.com,https://www.healthline.com/health-news/no-mouthwash-and-nasal-rinses-arent-cures-for-covid-19,"No, Mouthwash and Nasal Rinses Aren’t Cures for COVID-19","""No, Mouthwash and Nasal Rinses Aren't Cures for COVID-19""",though mouthwash has been shown to render some types of coronavirus inactive in lab setting experts say its still unknown if it can help slow spread of covid-19 in humans. monkeybusinessimages getty images new research examined if mouthwashes antiseptics and nasal rinse were effective ways to kill virus very similar to covid-19. study found that some of these products can be effective against type of human coronavirus under lab controlled conditions. however experts sa. ,though mouthwash has been shown to render some types of coronavirus inactive in lab setting experts say it 's still unknown if it can help slow spread of covid-19 in humans .. ,,"""covid 19, coronavirus, mouthwash, mouthwash kills coronavirus"""
3544,article,healthline.com,https://www.healthline.com/health-news/any-potential-covid-19-vaccine-will-have-to-pass-these-fda-requirements,Any Potential COVID-19 Vaccine Will Have to Pass These FDA Requirements,"""All COVID-19 Vaccines Will Have to Pass These FDA Requirements""",fda is requiring covid-19 vaccine candidates to show at least 50 percent efficacy in order to win approval. anadolu agency getty images during daylong meeting experts advising fda on coronavirus vaccines talked about approval process ongoing clinical trials and public concerns. vaccine makers will be required to monitor clinical trial participants for average of 2 months after their final dose to measure safety. any approved vaccine will need to show at least 50 perce. ,during daylong meeting experts advising fda on coronavirus vaccines talked about approval process ongoing clinical trials and public concerns. any approved vaccine will need to show at least 50 percent efficacy. ,,"""COVID-19, vaccine, FDA, clinical trials"""
3545,article,healthline.com,https://www.healthline.com/health-news/dissecting-the-debate-what-trump-biden-said-about-covid-19-vaccines-and-obamacare,"Dissecting the Debate: What Trump, Biden Said About COVID-19, Vaccines, and Obamacare","""What Trump, Biden Said About COVID-19, Vaccines, and Obamacare""",president donald trump and former vice president joe biden offered different approaches to healthcare during their debate. getty images several healthcare issues were prominent in thursday nights debate between president donald trump and former vice president joe biden. on covid-19 trump emphasized that countrys businesses and schools need to reopen soon while biden said government needs to provide businesses with materials required to reopen safely. on affordable care. ,second and final presidential debate showed stark contrast in how president donald trump and former vice president joe biden would handle healthcare issues .. ,,"""trump biden presidential debate healthcare covid19 vaccines affordable care act obamacare"""
3546,article,healthline.com,https://www.healthline.com/health-news/im-scared-to-death-how-teachers-feel-about-covid-19-school-safety,‘I’m Scared to Death’: How Teachers Feel About COVID-19 School Safety,"""‘I’m Scared to Death’: How Teachers Feel About COVID-19 School Safety""",effectiveness of covid-19 safety guidelines can vary widely from one school district to another causing many teachers to worry about risks they face as they return to in person learning. south_agency getty images covid-19 safety guidelines and how they re enforced can vary widely from one school district to another. political divides have further exasperated this discrepancy in some areas forcing teachers to return to in person learning even when they have condition that puts. ,effectiveness of covid-19 safety guidelines can vary widely from one school district to another causing many teachers to worry about risks they face as they return to in person learning .. ,,"""COVID-19, coronavirus, reopening schools, covid and schools, coronavirus and schools, are schools safe,"""
3547,article,healthline.com,https://www.healthline.com/health-news/why-women-are-taking-the-covid-19-pandemic-more-seriously-than-men,Why Women Are Taking the COVID-19 Pandemic More Seriously Than Men,"""Women Are Taking the COVID-19 Pandemic More Seriously Than Men""",experts say women are following safety measures for covid-19 more than men. lisegagne getty images researchers say women are taking covid-19 pandemic more seriously than men and are better at following safety measures. they say gender gap is similar to past research on male and female attitudes on healthcare in general. experts say messaging to men on covid-19 should be changed to focus more on how they can protect their family instead of just themselves. all data and statistic. ,experts say women are also following safety measures for covid-19 more than their male counterparts .. ,,"""COVID19 coronavirus pandemic women take more seriously than men, women men attitudes toward COVID19 coronavirus pandemic, women follow COVID19 coronavirus safety measure more than men"""
3548,article,healthline.com,https://www.healthline.com/health-news/what-the-covid-19-vaccine-trials-will-and-wont-tell-us,What the COVID-19 Vaccine Trials Will and Won’t Tell Us,"""What the COVID-19 Vaccine Trials Will and Won’t Tell Us""",experts say current phase 3 trials for potential covid-19 vaccines will indicate whether vaccinations can prevent or reduce disease symptoms. however researchers say trials wo nt be able to provide evidence on whether vaccines can prevent serious illness or death. experts note that researchers are trying to balance need for information with urgency of having vaccine during pandemic. all data and statistics are based on publicly available data at time of p. ,several vaccines for new coronavirus are in late stage trials but these will not be able to answer all questions about vaccines effectiveness in particular whether it can prevent serious illness or death from covid-19 .. ,,"""covid19 coronavirus vaccine trials information prevention serious illness death, what will covid19 vaccine trials tell us"""
3549,article,healthline.com,https://www.healthline.com/health-news/effective-ways-to-reduce-the-spread-of-covid-19-in-classrooms,Effective Ways to Reduce the Spread of COVID-19 in Classrooms,"""Effective Ways to Reduce the Spread of COVID-19 in Classrooms""",from managing good airflow to using desk shields experts say there are number of effective ways to reduce risk of spreading covid-19 in classrooms. halfpoint images getty images new research shows that running air conditioning with windows slightly open creates good airflow that may reduce spread of covid-19 in classrooms. good airflow can quickly move aerosolized particles that may contain novel coronavirus out of room. using plastic screens around desks can also sh. ,from managing good airflow to using desk shields experts say there are number of effective ways to reduce risk of spreading covid-19 in classrooms .. ,,"""COVID-19, coronavirus, viral infection, covid 19 in classrooms, reopening schools,"""
3550,article,healthline.com,https://www.healthline.com/health-news/keep-those-plans-on-hold-social-distancing-probably-wont-end-for-at-least-a-year,Keep Those Plans on Hold. Social Distancing Probably Won’t End for at Least a Year,"""Social Distancing Probably Won’t End for at Least a Year for COVID-19""",experts say effectiveness of covid-19 vaccines will be major factor in determining when we can get up close and personal with loved ones again. ani dimi stocksy experts say social or physical distancing measures against covid-19 will probably need to remain in place for at least year. they say important factor will be how effective vaccines are and how many people get them. until then its important to maintain physical distancing as well as other safety protocols such as mask. ,experts say effectiveness of covid-19 vaccines will be major factor in determining when we can get up close and personal again with loved ones as well as safely gather in large groups .. ,,"""covid19, coronavirus, social physical distancing when will it end"""
3551,article,healthline.com,https://www.healthline.com/health-news/how-covid-19-safety-protocols-at-workplaces-help-save-black-latino-lives,"How COVID-19 Safety Protocols at Workplaces Help Save Black, Latino Lives","""COVID-19 Safety Protocols at Workplaces Help Save Black, Latino Lives""",los angeles county officials have initiated program that allows workers of color to speak up more easily about health related issues. luis alvarez getty images all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent information on covid-19 outbreak. los angeles county is making progress in better protecting its workers of color from seriou. ,los angeles county officials have initiated program that makes it easier for minority workers to speak up about health related issues .. ,,"""COVID19 coronavirus workplace restrictions safety measures saving Black Hispanic Latinx Latino lives"""
3552,article,healthline.com,https://www.healthline.com/health-news/why-medical-experts-support-joe-bidens-7-point-plan-to-beat-covid-19,Why Medical Experts Support Joe Biden’s 7-Point Plan to Beat COVID-19,"""Why Medical Experts Support Joe Biden’s 7-Point Plan to Beat COVID-19""",with nov. 3 general election looming in just couple of weeks president donald trump and former vice president joe biden are making their final pitches to american voters. while range of issues have been front and center in our election discourse almost everything comes back to how each prospective administration would handle most pressing issue of this era covid-19 outbreak. over course of 2020 virus has disrupted everything. its filtered through all aspects of dai. ,healthline talks with medical experts who examine each aspect of joe bidens seven point plan to combat covid-19 pandemic and share why they believe it would vastly improve u.s. fight against novel coronavirus. ,,"""covid 19, coronavirus, presidential election, joe biden, covid 19 vaccine, coronavirus vaccine, face masks, personal protective equipment, federal mask mandate"""
3553,article,healthline.com,https://www.healthline.com/health-news/what-we-know-about-covid-19-and-long-term-heart-damage,What We Know About COVID-19 and Long-Term Heart Damage,"""What We Know About COVID-19 and Long-Term Heart Damage""",covid-19 appears to cause serious cardiac issues in some cases. john moore getty images new three part journal series published monday explores significant impact covid-19 can have on heart. nearly quarter of hospitalized coronavirus patients experience myocardial injury and many develop arrhythmias or thromboembolic disease. those with preexisting cardiac conditions like hypertension diabetes obesity or high cholesterol have greater risk of worse outcomes with covid-19. ,new three part journal series published monday explores significant impact covid-19 can have on heart. nearly quarter of hospitalized coronavirus patients experience myocardial injury and many develop arrhythmias or thromboembolic disease. ,,"""COVID-19, heart disease, coronavirus, viral infection"""
3554,article,healthline.com,https://www.healthline.com/health-news/newborns-are-at-low-risk-of-getting-covid-19-from-mothers-researchers-say,"Newborns Are at Low Risk of Getting COVID-19 from Mothers, Researchers Say","""Newborns Are at Low Risk of Getting COVID-19 from Mothers""",researchers say its rare for coronavirus that causes covid-19 to be transmitted from mother to infant before birth. experts say its important to practice safety protocols such as mask wearing and handwashing after baby is born. experts also recommend new mothers breastfeed their infants if possible because nutrients can provide protective benefit. all data and statistics are based on publicly available data at time of publication. some information may be out of date. ,experts encourage mothers to breastfeed their infants because breast milk can provide essential nutrients and even some protective benefits .. ,,"""COVID19 coronavirus newborns infants mothers pregnancy breastfeeding"""
3555,article,healthline.com,https://www.healthline.com/health-news/what-you-can-do-if-youve-lost-health-insurance-during-covid-19,What You Can Do If You’ve Lost Health Insurance During COVID-19,"""What You Can Do If You Lost Health Insurance During COVID-19""",there are websites that can help you navigate health insurance maze. maskot getty images new study reveals that more than 14 million americans have lost employer sponsored health insurance since covid-19 pandemic began. health insurance marketplace can help people understand options available to them as well as possible subsidies. experts say people with chronic conditions or diseases should explore premium options. direct primary care clinics which operate outside of. ,there are websites that can help you navigate health insurance maze and choose plan that best fits your needs .. ,,"""health insurance loss what you can do, what you can do if you lose health insurance, no health insurance obamacare options"""
3556,article,healthline.com,https://www.healthline.com/health-news/did-covid-19-cancel-thanksgiving-what-to-know-about-holiday-travel-during-the-pandemic,Did COVID-19 Cancel Thanksgiving? What to Know About Holiday Travel During the Pandemic,"""What to Know About Holiday Travel During the COVID-19 Pandemic""",there are ways to cut down your risk of developing covid-19 if you get on plane this holiday season. klaus vedfelt getty images in 2019 around 115 million americans traveled during holiday season. this year that number is expected to drastically drop. but some people are still traveling even planning to fly home for holidays. we talked to experts about what you should know about traveling this holiday season. all data and statistics are based on publicly available data at. ,heres what to expect from holiday travel this year along with guidance from experts on how to have safest celebrations possible .. ,,"""COVID-19, coronavirus, holiday"""
3557,article,healthline.com,https://www.healthline.com/health-news/how-just-meeting-a-few-friends-can-become-a-superspreader-event,How ‘Just Meeting a Few Friends’ Can Become a Superspreader Event,"""How ‘Just Meeting a Few Friends’ Can Become a Superspreader Event""",it does nt take large crowd with hundreds of people to cause covid-19 superspreader event. it can happen with small groups as well. hinterhaus productions getty images there have been recent news reports of superspreader events at large gatherings like at white house. however experts say small private events like family gatherings can also put you at risk. covid fatigue may be playing role as people begin to let their guard down. experts say its important to continue t. ,it does nt take large crowd with hundreds of people to cause covid-19 superspreader event. it can happen with small groups as well. ,,"""covid-19, coronavirus, superspreader covid, superspreader event,"""
3558,article,healthline.com,https://www.healthline.com/health-news/herd-immunity-without-covid-19-vaccine-would-mean-half-of-america-gets-sick,Herd Immunity Without COVID-19 Vaccine Would Mean Half of America Gets Sick,"""Herd Immunity Without Vaccine Would Mean Half of America Gets Sick""",dozens of health experts say that relying on herd immunity to control spread of covid-19 is dangerous idea that can result in widespread death and overwhelmed medical system. it would mean over half country would become ill with covid-19. in addition reinfection with new coronavirus has been documented meaning herd immunity is likely impossible without vaccine. allowing covid-19 pandemic to run its course through population to create herd immunity is dange. ,in recently published open letter almost 100 health experts claim that relying on herd immunity to control spread of covid-19 is dangerous idea that can result in widespread death and overwhelmed medical system .. ,,"""covid-19, coronavirus, viral infection, herd immunity"""
3559,article,healthline.com,https://www.healthline.com/health-news/older-adults-are-more-at-risk-for-covid-19-so-why-dont-vaccine-trials-include-them,Older Adults Are More at Risk for COVID-19. So Why Don’t Vaccine Trials Include Them?,"""Study Finds Few Older People Included in COVID-19 Vaccine Trials""",few older adults are included in vaccine trials. halfpoint images getty images recent published in september in jama journal of american medical association revealed that older individuals have nt been included in covid-19 vaccine trials to extent that younger individuals have. people over age of 65 make up 9 percent of global population but they account for 30 to 40 percent of all covid-19 cases. people over age of 65 make up 80 percent of covid-19 deaths. al. ,recent study published in september in journal of american medical association jama revealed that older individuals have nt been included in covid-19 vaccine trials to extent that younger individuals have .. ,,"""covid-19, coronavirus, viral infection"""
3560,article,healthline.com,https://www.healthline.com/health-news/why-dentists-are-reporting-a-low-rate-of-covid-19,Dentists Are Reporting a Low Rate of COVID-19: Here’s Why,"""Dentists Are Reporting a Low Rate of COVID-19: Here's Why""",new survey by american dental association indicates that less than 1 percent of dentists nationwide have tested positive for covid-19. experts say that s because of safety policies and disinfectant practices dental offices have had for decades. experts add that dental health is important not only for your teeth but also because dental infections can lead to other ailments including heart disease. all data and statistics are based on publicly available data at time of publicati. ,experts say dental offices have had safety procedures in place for decades. they note that dental issues can lead to overall health problems. ,,"""dentists low rate COVID19 coronavirus, visiting dentist dental health COVID19 pandemic coronavirus"""
3561,article,healthline.com,https://www.healthline.com/health-news/how-long-does-immunity-last-after-covid-19-what-we-know,How Long Does Immunity Last After COVID-19? What We Know,"""How Long Does Immunity Last After COVID-19? What We Know""",while scientists have been working hard on many fronts to understand virus and develop controls for it there s still much we do nt know about immunity after recovery from covid-19 including how long it lasts. if scientists can do that quickly and while we slow spread of disease its believed that we can limit deaths by achieving herd immunity. since start of covid-19 pandemic there s been push to develop vaccine against sars cov-2 virus. all data and statistic. ,heres what we currently know about how long people may be immune after they recover from covid-19 and why that s important in development of vaccine .. ,,"""covid 19, coronavirus, coronavirus antibodies immunity, coronavirus immunity, can you get covid twice, can you get covid-19 twice"""
3562,article,healthline.com,https://www.healthline.com/health-news/unexpected-ways-the-covid-19-vaccine-may-be-delayed,Unexpected Ways the COVID-19 Vaccine May Be Delayed,"""The Unexpected Ways the COVID-19 Vaccine May Be Delayed""",vaccine trials are in final stage of testing before they can be approved. kirsty oconnor pa images getty images even after vaccine is approved there could be delays in getting vaccine to americans. health officials will need enough supplies that could end up in short supply like vials syringes and ppe. additionally they may need specialized cold storage units and safe locations where vaccine can be administered to hundreds of millions of americans. all data and stat. ,bringing vaccine to market is nt simple process. on top of vaccine itself we need supplies like vials syringes and ppe cold storage units safe locations where vaccine can be administered and system to track who has been vaccinated. any hiccup in process could push vaccine distribution timeline back even further. ,,"""covid-19, coronavirus"""
3563,article,healthline.com,https://www.healthline.com/health-news/does-your-blood-type-increase-your-risk-for-coronavirus,Does Your Blood Type Increase Your Risk for Coronavirus?,"""Does Your Blood Type Increase Your Risk for Coronavirus?""",in new study researchers report that people with type o blood appear to be at lower risk for contracting novel coronavirus that causes covid-19. in june study researchers concluded that people with type blood have higher risk of contracting novel coronavirus. in march study from china concluded that people with type blood may have higher risk of contracting new coronavirus than people with type o. experts add that past research has shown some connection. ,experts say past studies have shown connection between blood types and certain conditions and illnesses. in latest research people with type o blood seem to have lower risk factors for covid-19. ,,"""blood type coronavirus COVID19 risk, type a blood coronavirus COVID19 risk, type o blood coronavirus COVID19 risk"""
3564,article,healthline.com,https://www.healthline.com/health-news/how-long-can-coronavirus-live-on-a-surface-temperature-and-light-make-a-big-difference,How Long Can the Novel Coronavirus Live on a Surface? Temperature and Light Make a Big Difference,"""Temperature, Light Determine How Long Coronavirus Lives on a Surface""",researchers say novel coronavirus can live up to 28 days on surfaces in cool and dark circumstances. in another study researchers said virus can live up to 9 days on human skin. experts say these studies emphasize need for people to wash their hands and clean surfaces. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent info. ,researchers say novel coronavirus can survive on surfaces for weeks in cool temperatures and dark surroundings. they say this information emphasizes need for people to wash their hands and clean surfaces. ,,"""COVID19 coronavirus live on surfaces skin, temperature COVID19 coronavirus 28 days on surfaces, cool dark setting COVID19 coronavirus live 28 days on surfaces"""
3565,article,healthline.com,https://www.healthline.com/health-news/how-long-does-it-take-for-covid-19-to-stop-being-contagious,How Long Does It Take for COVID-19 to Stop Being Contagious?,"""How Long Does It Take for COVID-19 to Stop Being Contagious?""",president trump held rally less than two weeks after testing positive for covid-19. joe raedle getty images we do nt have test to determine how much person may transmit coronavirus so doctors have to judge this based on their symptoms. president trump and senator mike lee made headlines for appearing in public after developing covid-19. covid-19 is still new disease that scientists are working to understand. all data and statistics are based on publicly available data at t. ,though current cdc guidelines suggest most people with covid-19 are n't contagious 10 days after onset of symptoms health experts say measuring this may be is tricky .. ,,"""COVID-19, coronavirus, viral infection, CDC, Donald Trump"""
3566,article,healthline.com,https://www.healthline.com/health-news/even-if-you-have-severe-lung-disease-you-can-safely-wear-a-mask,"Even If You Have Severe Lung Disease, You Can Safely Wear a Mask","""Even with a Severe Lung Condition, You Can Safely Wear a Mask""",wearing mask is safest option during covid-19 pandemic. noam galai getty images study found that even people with severe copd can safely wear masks. experts emphasize that discomfort from masks should nt turn into unfounded health worries. discomfort some people feel using surgical mask can be due to anxiety or claustrophobia. it can be inconvenient uncomfortable and hassle if you forget to bring it with you shopping but one thing face mask is not is dangerous. ,recent protests against mask mandates inspired pulmonologist to conduct research proving that masks do nt present any significant health risks. study found that even in patients with severe lung disease mask use did nt result in elevated levels of carbon dioxide in blood. ,,"""COVID-19, coronavirus, facial covering, face mask,"""
3567,article,healthline.com,https://www.healthline.com/health-news/4-simple-tips-to-avoid-developing-tech-neck-during-covid-19,4 Simple Tips to Avoid Developing ‘Tech Neck’ During COVID-19,"""4 Simple Tips to Avoid Developing ‘Tech Neck’ During COVID-19""",covid-19 pandemic has millions of americans spending lot more time with technology increasing our risk of developing tech neck. hiraman getty images with more screen time during pandemic some people are experiencing tech neck. symptoms of tech neck include upper back pain and stiffness trap pain muscle spasms or localized shoulder pain and headaches. kids may be prone to tech neck especially while e learning. all data and statistics are based on publicly available data at. ,from working at home and remote learning to zoom calls and tv binges covid-19 pandemic has millions of americans spending more time with technology increasing our risk of developing tech neck. heres how to keep all that screen time from becoming pain. ,,"""tech neck, tech neck treatment, tech neck symptoms, tech neck stretches, tech neck pain relief, smartphone injury, screen time, bad posture, computer neck pain"""
3568,article,healthline.com,https://www.healthline.com/health-news/covid-19-is-happening-all-over-again-in-florida,COVID-19 Is Happening All Over Again in Florida,"""COVID-19 Is Happening All Over Again in Florida""",florida is reporting 13 percent increase this past week in new covid-19 cases. experts say reopening order signed few weeks ago by floridas governor is one of reasons state is heading in wrong direction. they continue to urge floridians to wear masks and avoid crowded gatherings. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for t. ,experts say governors executive order reopening businesses few weeks ago is already driving increase in cases in florida. they fear surge will only get worse over next 8 to 10 weeks. ,,"""Florida COVID19 coronavirus cases death increase spike reopened businesses schools"""
3569,article,healthline.com,https://www.healthline.com/health-news/report-finds-kn95-masks-not-as-effective-as-n95-masks,Report Finds KN95 Masks Not as Effective as N95 Masks,"""Are KN95 Masks Effective? What to Know""",kn95 masks have become more popular as n95 masks are difficult to obtain. credit image xavierarnau getty images new report finds that popular kn95 masks are not as effective as n95 masks that have been in short supply. however kn95 masks may have uses outside of high risk areas. masks have been shown to be effective at limiting spread of covid-19. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit. ,researchers at ecri found that up to 70 percent kn95 masks imported from china do nt meet u.s. standards for effectiveness as with n95 masks. group issued hazard warning last month. ,,"""COVID-19, masks, KN95, N95 masks,"""
3570,article,healthline.com,https://www.healthline.com/health-news/from-back-pain-to-coughing-life-with-long-haul-covid-19,"From Back Pain to Coughing, Life with Long-Haul COVID-19","""From Back Pain to Coughing, Life with Long-Haul COVID-19""",some people have persistent symptoms of covid-19 long after worst of infection has passed. credit image daniel lozano gonzale getty images more than 9 months since covid-19 pandemic started in united states some people still have symptoms long after they ve recovered. experts are learning more about these long haul covid-19 cases. symptoms are wide ranging and there s little experts can do to treat them. all data and statistics are based on publicly available data at. ,many covid-19 survivors have reported long lingering or recurrent symptoms weeks or even months after tests show their bodies have cleared virus .. ,,"""covid-19, long-haul, coronavirus, viral infection"""
3571,article,healthline.com,https://www.healthline.com/health-news/hundreds-of-healthcare-workers-have-died-from-covid-19-this-doctor-is-honoring-them,Hundreds of Healthcare Workers Have Died from COVID-19: This Doctor Is Honoring Them,"""Doctor Honors Hundreds of Healthcare Workers Who Died from COVID-19""",dr. claire rezba is documenting healthcare workers who have died from covid-19 because she did nt want to just look away. photo courtesy of dr. claire rezba dr. claire rezba is documenting deaths of healthcare workers who have died from covid-19. rezba says at least 1.200 healthcare employees in united states have died from disease so far. studies indicate that workers of color are more likely to contract novel coronavirus and die from it. all data and statistics are base. ,dr. claire rezba is documenting lives and heroism of healthcare workers in united states who have died from covid-19 while taking care of others with disease. ,,"""Dr Claire Rezba tracking documenting COVID19 coronavirus deaths healthcare workers"""
